abh_number,b&f_number,scientific_name,vernacular_name,family
61.019,,Lysandra bellargus,Adonis Blue,Lycaenidae
61.02,,Lysandra coridon,Chalk Hill Blue,Lycaenidae
65.005,,Drepana falcataria falcataria,Pebble Hook-tip,Drepanidae
65.005,,Drepana falcataria scotica,Pebble Hook-tip,Drepanidae
65.01,,Tethea ocularis octogesimea,Figure of Eighty,Drepanidae
65.011,,Tethea or hibernica,Poplar Lutestring,Drepanidae
65.011,,Tethea or scotica,Poplar Lutestring,Drepanidae
65.014,,Cymatophorima diluta hartwiegi,Oak Lutestring,Drepanidae
65.016,,Achlya flavicornis galbanus,Yellow Horned,Drepanidae
65.016,,Achlya flavicornis scotica,Yellow Horned,Drepanidae
66.006,,Lasiocampa trifolii flava,Grass Eggar,Drepanidae
66.006,,Lasiocampa trifolii trifolii,Grass Eggar,Drepanidae
66.007,,Lasiocampa quercus f. callunae,Northern Eggar,Drepanidae
66.007,,Lasiocampa quercus quercus,Oak Eggar,Drepanidae
70.003,,Idaea ochrata cantiata,Bright Wave,Geometridae
70.004,,Idaea rusticata atrosignaria,Least Carpet,Geometridae
70.014,,Idaea contiguaria britanniae,Weaver's Wave,Geometridae
70.016,,Idaea aversata ab. remutata,Riband Wave [non-banded form],Geometridae
70.027,,Scopula floslactata floslactata,Cream Wave,Geometridae
70.027,,Scopula floslactata scotica,Cream Wave,Geometridae
70.04,,Scotopteryx mucronata scotica,Lead Belle,Geometridae
70.04,,Scotopteryx mucronata umbrifera,Lead Belle,Geometridae
70.041,,Scotopteryx luridata plumbaria,July Belle,Geometridae
70.043,,Scotopteryx bipunctaria cretata,Chalk Carpet,Geometridae
70.048,,Xanthorhoe decoloraria decoloraria,Red Carpet,Geometridae
70.048,,Xanthorhoe decoloraria hethlandica,Red Carpet,Geometridae
70.049,,Xanthorhoe fluctuata fluctuata,Garden Carpet,Geometridae
70.049,,Xanthorhoe fluctuata thules,Garden Carpet,Geometridae
70.054,,Xanthorhoe montanata montanata,Silver-ground Carpet,Geometridae
70.054,,Xanthorhoe montanata shetlandica,Silver-ground Carpet,Geometridae
70.059,,Camptogramma bilineata atlantica,Yellow Shell,Geometridae
70.059,,Camptogramma bilineata bilineata,Yellow Shell,Geometridae
70.059,,Camptogramma bilineata hibernica,Yellow Shell,Geometridae
70.059,,Camptogramma bilineata isolata,Yellow Shell,Geometridae
70.061,,Epirrhoe alternata alternata,Common Carpet,Geometridae
70.061,,Epirrhoe alternata obscurata,Common Carpet,Geometridae
70.071,,Entephria flavicinctata flavicinctata,Yellow-ringed Carpet,Geometridae
70.071,,Entephria flavicinctata ruficinctata,Yellow-ringed Carpet,Geometridae
70.082,,Thera juniperata juniperata,Juniper Carpet,Geometridae
70.082,,Thera juniperata orcadensis,Juniper Carpet,Geometridae
70.082,,Thera juniperata scotica,Juniper Carpet,Geometridae
70.084,,Plemyria rubiginata plumbata,Blue-bordered Carpet,Geometridae
70.084,,Plemyria rubiginata rubiginata,Blue-bordered Carpet,Geometridae
70.098,,Dysstroma citrata citrata,Dark Marbled Carpet,Geometridae
70.098,,Dysstroma citrata pythonissata,Dark Marbled Carpet,Geometridae
70.102,,Coenotephria salicata latentaria,Striped Twin-spot Carpet,Geometridae
70.119,,Philereme transversata britannica,Dark Umber,Geometridae
70.12,,Rheumaptera hastata hastata,Argent & Sable,Geometridae
70.12,,Rheumaptera hastata nigrescens,Argent & Sable,Geometridae
70.131,,Perizoma didymata didymata,Twin-spot Carpet,Geometridae
70.131,,Perizoma didymata hethlandica,Twin-spot Carpet,Geometridae
70.135,,Perizoma minorata ericetata,Heath Rivulet,Geometridae
70.136,,Perizoma blandiata blandiata,Pretty Pinion,Geometridae
70.136,,Perizoma blandiata perfasciata,Pretty Pinion,Geometridae
70.137,,Perizoma albulata albulata,Grass Rivulet,Geometridae
70.137,,Perizoma albulata subfasciaria,Grass Rivulet,Geometridae
70.151,,Eupithecia pulchellata hebudium,Foxglove Pug,Geometridae
70.151,,Eupithecia pulchellata pulchellata,Foxglove Pug,Geometridae
70.155,,Eupithecia venosata fumosae,Netted Pug,Geometridae
70.155,,Eupithecia venosata hebridensis,Netted Pug,Geometridae
70.155,,Eupithecia venosata ochracae,Netted Pug,Geometridae
70.155,,Eupithecia venosata plumbea,Netted Pug,Geometridae
70.155,,Eupithecia venosata venosata,Netted Pug,Geometridae
70.158,,Eupithecia pusillata anglicata,Juniper Pug,Geometridae
70.158,,Eupithecia pusillata pusillata,Juniper Pug,Geometridae
70.169,,Eupithecia innotata f. fraxinata,Ash Pug,Geometridae
70.169,1850,Eupithecia tamarisciata,Tamarisk Pug,Geometridae
70.172,,Eupithecia distinctaria constrictata,Thyme Pug,Geometridae
70.176,,Eupithecia intricata arceuthata,Freyer's Pug,Geometridae
70.176,,Eupithecia intricata hibernica,Mere's Pug,Geometridae
70.176,,Eupithecia intricata millieraria,Edinburgh Pug,Geometridae
70.177,,Eupithecia satyrata callunaria,Satyr Pug,Geometridae
70.177,,Eupithecia satyrata curzoni,Satyr Pug,Geometridae
70.177,,Eupithecia satyrata satyrata,Satyr Pug,Geometridae
70.178,,Eupithecia extensaria occidua,Scarce Pug,Geometridae
70.179,,Eupithecia absinthiata f. goossensiata,Ling Pug,Geometridae
70.183,,Eupithecia vulgata clarensis,Common Pug,Geometridae
70.183,,Eupithecia vulgata scotica,Common Pug,Geometridae
70.183,,Eupithecia vulgata vulgata,Common Pug,Geometridae
70.184,,Eupithecia exiguata exiguata,Mottled Pug,Geometridae
70.184,,Eupithecia exiguata muricolor,Mottled Pug,Geometridae
70.185,,Eupithecia denotata denotata,Campanula Pug,Geometridae
70.185,,Eupithecia denotata jasioneata,Jasione Pug,Geometridae
70.187,,Eupithecia icterata cognata,Tawny Speckled Pug,Geometridae
70.187,,Eupithecia icterata subfulvata,Tawny Speckled Pug,Geometridae
70.191,,Carsia sororiata anglica,Manchester Treble-bar,Geometridae
70.192,,Aplocera plagiata plagiata,Treble-bar,Geometridae
70.192,,Aplocera plagiata scotica,Treble-bar,Geometridae
70.196,,Chesias rufata rufata,Broom-tip,Geometridae
70.196,,Chesias rufata scotica,Broom-tip,Geometridae
70.218,,Chiasmia clathrata clathrata,Latticed Heath,Geometridae
70.218,,Chiasmia clathrata hugginsi,Latticed Heath,Geometridae
70.24,,Odontopera bidentata f. nigrans,Scalloped Hazel (melanic),Geometridae
70.249,,Lycia lapponaria scotica,Rannoch Brindled Beauty,Geometridae
70.25,,Lycia zonaria atlantica,Belted Beauty,Geometridae
70.25,,Lycia zonaria britannica,Belted Beauty,Geometridae
70.252,,Biston betularia f. carbonaria,Peppered Moth [melanic form],Geometridae
70.252,,Biston betularia f. insularia,Peppered Moth [melanic form],Geometridae
70.255,,Agriopis marginaria (melanic form),Dotted Border (melanic),Geometridae
70.255,,Agriopis marginaria ab. fuscata,Dotted Border (melanic ab. fuscata),Geometridae
70.262,,Selidosema brunnearia scandinaviaria,Bordered Grey,Geometridae
70.262,,Selidosema brunnearia tyronensis,Bordered Grey,Geometridae
70.263,,Cleora cinctaria bowesi,Ringed Carpet,Geometridae
70.263,,Cleora cinctaria cinctaria,Ringed Carpet,Geometridae
70.265,,Alcis repandata muraria,Mottled Beauty,Geometridae
70.265,,Alcis repandata repandata,Mottled Beauty,Geometridae
70.265,,Alcis repandata sodorensium,Mottled Beauty,Geometridae
70.27,1947,Ectropis bistortata,Engrailed,Geometridae
70.27,1947,Ectropis crepuscularia,Engrailed,Geometridae
70.272,,Paradarisa consonaria ab. waiensis,Square Spot (melanic ab. waiensis),Geometridae
70.272,,Paradarisa consonaria f. nigra,Square Spot (melanic f. nigra),Geometridae
70.275,,Ematurga atomaria f. minuta,Common Heath,Geometridae
70.286,1962a,Odonthognophos dumetata,Irish Annulet,Geometridae
70.293,,Aspitates gilvaria burrenensis,Straw Belle,Geometridae
70.293,,Aspitates gilvaria gilvaria,Straw Belle,Geometridae
70.297,,Pseudoterpna pruinata atropunctaria,Grass Emerald,Geometridae
70.301,,Thetidia smaragdaria maritima,Essex Emerald,Geometridae
,,,,
72.025,,Parasemia plantaginis insularum,Wood Tiger,Erebidae
72.025,,Parasemia plantaginis plantaginis,Wood Tiger,Erebidae
72.024,,Phragmatobia fuliginosa borealis,Ruby Tiger,Erebidae
72.024,,Phragmatobia fuliginosa fuliginosa,Ruby Tiger,Erebidae
72.027,,Arctia villica britannica,Cream-spot Tiger,Erebidae
72.032,,Coscinia cribraria arenaria,Speckled Footman,Erebidae
72.032,,Coscinia cribraria bivittata,Speckled Footman,Erebidae
