abh_number,plant_species,hostplant_category
72.024,stitchworts Stellaria spp.,1
72.024, Common Fleabane Pulicaria dysenterica,1
72.024,plantains Plantago spp.,1
72.024, Purple Moor-grass Molinia caerulea,1
72.024,dandelions Taraxacum spp.,1
72.024, Eared Willow Salix aurita,1
72.024,Goldenrod Solidago virgaurea,1
72.024,docks Rumex spp.,1
72.024,Yarrow Achillea millefolium,1
72.024,Broom Cytisus scoparius,1
72.024,Bramble Rubus fruticosus,1
72.024,Escallonia Escallonia rubra,1
72.024,Spindle Euonymus europaeus,1
72.024,twayblades Neottia spp.,1
72.025,Hound’s-tongue Cynoglossum officinale,1
72.025, Dog's Mercury Mercurialis perennis,1
72.025,burdocks Arctium spp.,1
72.025,violets Viola spp.,1
72.025,Groundsel Senecio vulgaris,1
72.025, Salad Burnet Poterium sanguisorba,1
72.025,ragworts,1
72.025,plantains Plantago spp.,1
72.025, Common Rock-rose Helianthemum nummularium,1
72.025,dandelions Taraxacum spp.,1
72.025, Common Nettle Urtica dioica,1
72.025, Bell Heath Erica cinerea,1
72.025,docks Rumex spp.,1
72.026, Smooth Sowthistle Sonchus oleraceus,1
72.026,dead-nettles Lamium spp.,1
72.026,Hound’s-tongue Cynoglossum officinale,1
72.026, Marsh Ragwort Jacobaea aquatica,1
72.026,thistles,1
72.026,burdocks Arctium spp.,1
72.026,Bracken Pteridium aquilinum,1
72.026,plantains Plantago spp.,1
72.026, Eared Willow Salix aurita,1
72.026,dandelions Taraxacum spp.,1
72.026, Common Nettle Urtica dioica,1
72.026, Common Ragwort Jacobaea vulgaris,1
72.026, Scots Pine Pinus sylvestris,1
72.026,docks Rumex spp.,1
72.026, Grey Willow Salix cinerea,1
72.026,Apple Malus domestica,1
72.026,Rowan Sorbus aucuparia,1
72.026,Blackthorn Prunus spinosa,1
72.026, Norway Spruce Picea abies,1
72.026, Water Horsetail Equisetum fluviatile,1
72.027,hawkweeds Hieracium spp.,1
72.027,Groundsel Senecio vulgaris,1
72.027, White Dead-nettle Lamium album,1
72.027,stitchworts Stellaria spp.,1
72.027,ragworts,1
72.027,Dogwood Cornus sanguinea,1
72.027,Cock’s-foot Dactylis glomerata,1
72.027,dandelions Taraxacum spp.,1
72.027,Gorse Ulex europaeus,1
72.027, Common Nettle Urtica dioica,1
72.027,roses Rosa spp.,1
72.027,docks Rumex spp.,1
72.027,cherries Prunus spp.,1
72.027, Grey Willow Salix cinerea,1
72.027, Black Horehound Ballota nigra,1
72.029,horsetails Equisetum spp.,1
72.029, Green Alkanet Pentaglottis sempervirens,1
72.029,Borage Borago officinalis,1
72.029,Foxglove Digitalis purpurea,1
72.029,Hound’s-tongue Cynoglossum officinale,1
72.029,geraniums Pelargonium spp.,1
72.029,Groundsel Senecio vulgaris,1
72.029,Hemp-agrimony Eupatorium cannabinum,1
72.029,Meadowsweet Filipendula ulmaria,1
72.029, Wych Elm Ulmus glabra,1
72.029, Common Nettle Urtica dioica,1
72.029,docks Rumex spp.,1
72.029,Honeysuckle Lonicera periclymenum,1
72.029,cherries Prunus spp.,1
72.029,Bramble Rubus fruticosus,1
72.029,birches Betula spp.,1
72.029,Blackthorn Prunus spinosa,1
72.029,comfreys Symphytum spp.,1
72.029, Common Evening-primrose Oenothera biennis,1
72.029, Water Forget-me-not Myosotis scorpioides,1
72.03,lettuces Lactuca spp.,1
72.03,forget-me-nots Myosotis spp.,1
72.03,Ground-ivy Glechoma hederacea,1
72.03, White Dead-nettle Lamium album,1
72.03,Groundsel Senecio vulgaris,1
72.03,Hemp-agrimony Eupatorium cannabinum,1
72.03,plantains Plantago spp.,1
72.03,dandelions Taraxacum spp.,1
72.03, Common Nettle Urtica dioica,1
72.03,roses Rosa spp.,1
72.03,Honeysuckle Lonicera periclymenum,1
72.03,elms Ulmus spp.,1
72.03,Bramble Rubus fruticosus,1
72.03, Green Alkanet Pentaglottis sempervirens,1
72.03,Borage Borago officinalis,1
72.031,Colt’s-foot Tussilago farfara,1
72.031, Great Mullein Verbascum thapsus,1
72.031,Flixweed Descurainia sophia,1
72.031, Wood Sage Teucrium scorodonia,1
72.031,Groundsel Senecio vulgaris,1
72.031,Hop Humulus lupulus,1
72.031, Common Ragwort Jacobaea vulgaris,1
72.031,Yarrow Achillea millefolium,1
72.031, Hoary Ragwort Jacobaea erucifolia,1
72.031, Marsh Ragwort Jacobaea aquatica,1
72.031, Oxeye Daisy Leucanthemum vulgare,1
72.031, Heath Groundsel Senecio sylvaticus,1
72.031, Oxford Ragwort Senecio squalidus,1
72.032, Bristle Bent Agrostis curtisii,1
72.032,heathers,2
72.032,Bilberry Vaccinium myrtillus,2
72.035,algae ,1
72.035,Peltigera membranacea,1
72.035,lichens,1
72.035,mosses,1
72.036,lichens,1
72.037,algae ,1
72.037,lichens,1
72.037,mosses,1
72.037,Peltigera spp.,1
72.037, Silky Wall Feather-moss Homalothecium sericeum,1
72.037, Common Pincushion Dicranoweisia cirrata,1
72.038,algae ,1
72.038,lichens,1
72.038,Bramble Rubus fruticosus,1
72.041,Pleurococcus naegelii,1
72.041,Peltigera membranacea,1
72.041,algae ,1
72.041,lichens,1
72.041,oaks Quercus spp.,1
72.041,Flavoparmelia caperata,1
72.042,Pleurococcus naegelii,1
72.042,algae ,1
72.042,lichens,1
72.043,algae ,1
72.043,lichens,1
72.043,Pleurococcus naegelii,1
72.043,Flavoparmelia spp.,1
72.044,algae ,1
72.044,lichens,1
72.044,Peltigera membranacea,1
72.044,Barbula sp.,1
72.045,apples Malus spp.,1
72.045,algae ,1
72.045,Dogwood Cornus sanguinea,1
72.045,lichens,1
72.045,Gorse Ulex europaeus,1
72.045,hawthorns Crataegus spp.,1
72.045,Bramble Rubus fruticosus,1
72.045,oaks Quercus spp.,1
72.046,Ploughman’s-spikenard Inula conyzae,1
72.046,algae ,1
72.046,lichens,1
72.046,Gorse Ulex europaeus,1
72.047,lichens,1
72.047,algae ,1
72.047, Common Bird's-foot-trefoil Lotus corniculatus,1
72.047,clovers Trifolium spp.,1
72.047, Kidney Vetch Anthyllis vulneraria,1
72.049,lichens,1
72.049,algae ,1
72.05,lichens,1
72.051,oaks Quercus spp.,1
72.052,Wood-sedge Carex sylvatica,1
72.052,wood-rushes Luzula spp.,1
72.053, Common Ivy Hedera helix,1
72.053,Raspberry Rubus idaeus,1
72.053, Goat Willow Salix caprea,1
72.053,Beech Fagus sylvatica,1
72.053,Bramble Rubus fruticosus,1
72.053,oaks Quercus spp.,1
72.055,Rhododendron Rhododendron ponticum,1
72.055, Bird Cherry Prunus padus,1
72.055, Small-leaved Lime Tilia cordata,1
72.055,Traveller’s-joy Clematis vitalba,1
72.055,Raspberry Rubus idaeus,1
72.055,Hornbeam Carpinus betulus,1
72.055,hawthorns Crataegus spp.,1
72.055,Sycamore Acer pseudoplatanus,1
72.055,elms Ulmus spp.,1
72.055, Downy Birch Betula pubescens,1
72.055, Pedunculate Oak Quercus robur,1
72.055,Bramble Rubus fruticosus,1
72.055,birches Betula spp.,1
72.055,oaks Quercus spp.,1
72.055,Hazel Corylus avellana,1
72.055,Alder Alnus glutinosa,1
72.056, Pedunculate Oak Quercus robur,1
72.063, Wood Vetch Ervilia sylvatica,1
72.063, Tufted Vetch Vicia cracca,1
72.063, Wild Liquorice Astragalus glycyphyllos,1
72.063,milk-vetches Astragalus spp.,1
72.063, Marsh Pea Lathyrus palustris,1
72.064, Tufted Vetch Vicia cracca,1
72.064, Wood Vetch Ervilia sylvatica,1
72.066,Botryobasidium spp.,1
72.066,Cladonia fimbriata,1
72.066,Cylindrobasidium laeve,1
72.066,Daldinia concentrica,1
72.066, bracket fungi,1
72.066, slime moulds,1
72.066,Phaeolus schweinitzii,1
72.066,Piptoporus betulinus,1
72.066,Stereum hirsutum,1
72.066,Tapinella panuoides,1
72.066,Trametes versicolor,1
72.066,Trichaptum abietinum,1
72.067,Lousewort Pedicularis sylvatica,1
72.067, Common Milkwort Polygala vulgaris,1
72.067, Heath Milkwort Polygala serpyllifolia,1
72.069,Xanthoria parietina,1
72.069,lichens,1
72.069,Physcia stellaris,1
72.07, Sweet Chestnut Castanea sativa,1
72.07,Beech Fagus sylvatica,1
72.07,Beech Fagus sylvatica,1
72.07,oaks Quercus spp.,1
72.072, Carline Thistle Carlina vulgaris,1
72.073,Ploughman’s-spikenard Inula conyzae,1
72.073, Common Fleabane Pulicaria dysenterica,1
72.076,poplars Populus spp.,1
72.076,Aspen Populus tremula,1
72.078, Hybrid Salix x fragilis,1
72.078, White Poplar Populus alba,1
72.078,Black-poplar Populus nigra,1
72.078, White Willow Salix alba,1
72.078,poplars Populus spp.,1
72.078,Aspen Populus tremula,1
72.078,willows Salix spp.,1
72.078, Wild Plum Prunus domestica,1
72.081, Pedunculate Oak Quercus robur,1
72.082, Pedunculate Oak Quercus robur,1
72.083,Lucerne Medicago sativa,1
72.083,clovers Trifolium spp.,1
72.083, Common Bird's-foot-trefoil Lotus corniculatus,1
72.083, Black Medick Medicago lupulina,1
72.083, Tufted Vetch Vicia cracca,1
72.084, Common Reed Phragmites australis,1
72.084, Purple Moor-grass Molinia caerulea,1
72.084,Cock’s-foot Dactylis glomerata,1
73.001, Common Nettle Urtica dioica,1
73.002,Hop Humulus lupulus,1
73.002, Common Nettle Urtica dioica,1
73.011,Hemp-agrimony Eupatorium cannabinum,1
73.012, Common Comfrey Symphytum officinale,1
73.012, Garden Pea Lathyrus oleraceus,1
73.012,Michaelmas-daisies Symphyotrichum spp.,1
73.012, Lesser Burdock Arctium minus,1
73.012, Garden Parsley Petroselinum crispum,1
73.012,teasels Dipsacus spp.,1
73.012, Spear Thistle Cirsium vulgare,1
73.012, White Dead-nettle Lamium album,1
73.012, Wild Angelica Angelica sylvestris,1
73.012,Hemp-agrimony Eupatorium cannabinum,1
73.012, Common Nettle Urtica dioica,1
73.012, Common Hemp-nettle Galeopsis tetrahit,1
73.012, Wild Marjoram Origanum vulgare,1
73.012,Hyssop Hyssopus officinalis,1
73.012,Spearmint Mentha spicata,1
73.012,yarrows Achillea spp.,1
73.014,Globeflower Trollius europaeus,1
73.014,larkspurs Consolida spp.,1
73.014,monk's-hoods Aconitum spp.,1
73.014,Wolf's-bane Aconitum lycoctonum,1
73.015, Garden Pea Lathyrus oleraceus,1
73.015, Common Toadflax Linaria vulgaris,1
73.015, Small Nettle Urtica urens,1
73.015, Common Restharrow Ononis repens,1
73.015,Cabbage Brassica oleracea,1
73.015,Flixweed Descurainia sophia,1
73.015,clovers Trifolium spp.,1
73.015,bedstraws Galium spp.,1
73.015,Hop Humulus lupulus,1
73.015,dandelions Taraxacum spp.,1
73.015,limes Tilia spp.,1
73.015, Common Nettle Urtica dioica,1
73.015,docks Rumex spp.,1
73.015,Broom Cytisus scoparius,1
73.015, Alpine Lady-fern Athyrium distentifolium,1
73.016, Hedge Woundwort Stachys sylvatica,1
73.016, Rough Chervil Chaerophyllum temulum,1
73.016,burdocks Arctium spp.,1
73.016, Small Nettle Urtica urens,1
73.016, White Dead-nettle Lamium album,1
73.016,Groundsel Senecio vulgaris,1
73.016, Common Ragwort Jacobaea vulgaris,1
73.016, Common Nettle Urtica dioica,1
73.016,Honeysuckle Lonicera periclymenum,1
73.016,Bilberry Vaccinium myrtillus,1
73.016, Wood Avens Geum urbanum,1
73.017,mints Mentha spp.,1
73.017, Red Dead-nettle Lamium purpureum,1
73.017, Rough Chervil Chaerophyllum temulum,1
73.017,Hogweed Heracleum sphondylium,1
73.017,Cabbage Brassica oleracea,1
73.017, White Dead-nettle Lamium album,1
73.017,Groundsel Senecio vulgaris,1
73.017,plantains Plantago spp.,1
73.017,clovers Trifolium spp.,1
73.017,dandelions Taraxacum spp.,1
73.017, Common Nettle Urtica dioica,1
73.017,Honeysuckle Lonicera periclymenum,1
73.017, Hedge Woundwort Stachys sylvatica,1
73.018,Mouse-ear-hawkweed Pilosella officinarum,1
73.018, White Dead-nettle Lamium album,1
73.018,Hemp-agrimony Eupatorium cannabinum,1
73.018,Groundsel Senecio vulgaris,1
73.018, Common Nettle Urtica dioica,1
73.018,Honeysuckle Lonicera periclymenum,1
73.018,Bilberry Vaccinium myrtillus,1
73.018,Ground-ivy Glechoma hederacea,1
73.018, Rough Chervil Chaerophyllum temulum,1
73.021,Cowberry Vaccinium vitis-idaea,1
73.021, Common Nettle Urtica dioica,1
73.021,Bilberry Vaccinium myrtillus,1
73.021,Heather Calluna vulgaris,1
73.021, Bog Bilberry Vaccinium uliginosum,1
73.022, Branched Bur-reed Sparganium erectum,1
73.022, Glaucous Sedge Carex flacca,1
73.022, Wood Small-reed Calamagrostis epigejos,1
73.022, Yellow Iris Iris pseudacorus,1
73.022,Tufted-sedge Carex elata,1
73.022,Yorkshire-fog Holcus lanatus,1
73.022,grasses ,1
73.022,rushes Juncus spp.,1
73.022,Water-plantain Alisma plantago-aquatica,1
73.023, Purple Small-reed Calamagrostis canescens,1
73.023, Wood Small-reed Calamagrostis epigejos,1
73.023,Yorkshire-fog Holcus lanatus,1
73.023,grasses ,1
73.024, Purple Moor-grass Molinia caerulea,1
73.024, False Brome Brachypodium sylvaticum,1
73.026,sedges Carex spp.,1
73.026, Tufted Hair-grass Deschampsia cespitosa,1
73.026,grasses ,1
73.026,Wood-sedge Carex sylvatica,1
73.027, Purple Moor-grass Molinia caerulea,1
73.027, Smooth Meadow-grass Poa pratensis,1
73.031, Field Bindweed Convolvulus arvensis,1
73.032, Field Maple Acer campestre,1
73.032,Hornbeam Carpinus betulus,1
73.032,roses Rosa spp.,1
73.032,limes Tilia spp.,1
73.032,hawthorns Crataegus spp.,1
73.032, Sweet Chestnut Castanea sativa,1
73.032,Sycamore Acer pseudoplatanus,1
73.032,Apple Malus domestica,1
73.032,Rowan Sorbus aucuparia,1
73.032, Downy Birch Betula pubescens,1
73.032, Silver Birch Betula pendula,1
73.032,Beech Fagus sylvatica,1
73.032,Aspen Populus tremula,1
73.032,willows Salix spp.,1
73.032,Blackthorn Prunus spinosa,1
73.032,oaks Quercus spp.,1
73.032,Hazel Corylus avellana,1
73.032,alders Alnus spp.,1
73.033,cotoneasters Cotoneaster spp.,1
73.033,Pear Pyrus communis,1
73.033,roses Rosa spp.,1
73.033,hawthorns Crataegus spp.,1
73.033,cherries Prunus spp.,1
73.033,cherries Prunus spp.,1
73.033,Apple Malus domestica,1
73.033,Blackthorn Prunus spinosa,1
73.033,Peach Prunus persica,1
73.033,Almond Prunus dulcis,1
73.033,Apricot Prunus armeniaca,1
73.033, Cherry Laurel Prunus laurocerasus,1
73.033, Japanese Quince Chaenomeles japonica,1
73.034, Sweet Chestnut Castanea sativa,1
73.034, Pedunculate Oak Quercus robur,1
73.035, Reed Sweet-grass Glyceria maxima,1
73.035, Great Fen-sedge Cladium mariscus,1
73.035,sedges Carex spp.,1
73.035, Water Dock Rumex hydrolapathum,1
73.035, Common Reed Phragmites australis,1
73.035,Tufted-sedge Carex elata,1
73.035, Creeping Willow Salix repens,1
73.035,Bog-myrtle Myrica gale,1
73.035, Grey Willow Salix cinerea,1
73.035,willows Salix spp.,1
73.035,birches Betula spp.,1
73.035,Heather Calluna vulgaris,1
73.035, Greater Tussock-sedge Carex paniculata,1
73.035, Yellow Loosestrife Lysimachia vulgaris,1
73.035,Whorl-grass Catabrosa aquatica,1
73.036, Wild Cherry Prunus avium,1
73.036,Rhododendron Rhododendron ponticum,1
73.036,Dogwood Cornus sanguinea,1
73.036,Raspberry Rubus idaeus,1
73.036, Crab Apple Malus sylvestris,1
73.036,Dog-rose Rosa canina,1
73.036,limes Tilia spp.,1
73.036, Goat Willow Salix caprea,1
73.036,hawthorns Crataegus spp.,1
73.036,Sycamore Acer pseudoplatanus,1
73.036, Sweet Chestnut Castanea sativa,1
73.036,elms Ulmus spp.,1
73.036,Rowan Sorbus aucuparia,1
73.036,Beech Fagus sylvatica,1
73.036,willows Salix spp.,1
73.036,birches Betula spp.,1
73.036,Blackthorn Prunus spinosa,1
73.036,oaks Quercus spp.,1
73.036,Aspen Populus tremula,1
73.036,Alder Alnus glutinosa,1
73.037,cotoneasters Cotoneaster spp.,1
73.037,Plum Prunus domestica,1
73.037,Buckthorn Rhamnus cathartica,1
73.037,Pear Pyrus communis,1
73.037, Goat Willow Salix caprea,1
73.037,hawthorns Crataegus spp.,1
73.037, Grey Willow Salix cinerea,1
73.037,Apple Malus domestica,1
73.037,Rowan Sorbus aucuparia,1
73.037,willows Salix spp.,1
73.037,birches Betula spp.,1
73.037,Blackthorn Prunus spinosa,1
73.037,oaks Quercus spp.,1
73.038,Firethorn Pyracantha coccinea,1
73.038,Bracken Pteridium aquilinum,1
73.038,Plum Prunus domestica,1
73.038,Pear Pyrus communis,1
73.038,roses Rosa spp.,1
73.038,limes Tilia spp.,1
73.038, Sweet Chestnut Castanea sativa,1
73.038,hawthorns Crataegus spp.,1
73.038,elms Ulmus spp.,1
73.038,Apple Malus domestica,1
73.038,Rowan Sorbus aucuparia,1
73.038,willows Salix spp.,1
73.038,birches Betula spp.,1
73.038,Blackthorn Prunus spinosa,1
73.038,oaks Quercus spp.,1
73.038,Hazel Corylus avellana,1
73.038,Juneberry Amelanchier lamarckii,1
73.038, Highbush Blueberry Vaccinium corymbosum,1
73.039,Laburnum Laburnum anagyroides,1
73.039,Horse-chestnut Aesculus hippocastanum,1
73.039,Plum Prunus domestica,1
73.039, Field Maple Acer campestre,1
73.039,roses Rosa spp.,1
73.039,Sycamore Acer pseudoplatanus,1
73.039,birches Betula spp.,1
73.039,oaks Quercus spp.,1
73.039,maples Acer spp.,1
73.039, Norway Maple Acer platanoides,1
73.039, London Plane Platanus x hispanica,1
73.04, Hybrid Black-poplar Populus x canadensis,1
73.04, White Willow Salix alba,1
73.04, Grey Willow Salix cinerea,1
73.04,poplars Populus spp.,1
73.04, Downy Birch Betula pubescens,1
73.04, Silver Birch Betula pendula,1
73.04,oaks Quercus spp.,1
73.04,Aspen Populus tremula,1
73.04,Alder Alnus glutinosa,1
73.04, Bay Willow Salix pentandra,1
73.042,Soft-rush Juncus effusus,1
73.042,Bearberry Arctostaphylos uva-ursi,1
73.042, Yellow Iris Iris pseudacorus,1
73.042, White Willow Salix alba,1
73.042, Eared Willow Salix aurita,1
73.042, Creeping Willow Salix repens,1
73.042, Cross-leaved Heath Erica tetralix,1
73.042,Bog-myrtle Myrica gale,1
73.042,Bramble Rubus fruticosus,1
73.042,Bilberry Vaccinium myrtillus,1
73.042,birches Betula spp.,1
73.042,Heather Calluna vulgaris,1
73.042,Bogbean Menyanthes trifoliata,1
73.042, Alder Buckthorn Frangula alnus,1
73.042, Downy Willow Salix lapponum,1
73.044, Ribwort Plantain Plantago lanceolata,1
73.044, Sea Plantain Plantago maritima,1
73.044, Sea Campion Silene uniflora,1
73.044, Common Sorrel Rumex acetosa,1
73.044, Yellow Iris Iris pseudacorus,1
73.044,Thrift Armeria maritima,1
73.044,Meadowsweet Filipendula ulmaria,1
73.044, Eared Willow Salix aurita,1
73.044, Creeping Willow Salix repens,1
73.044,dandelions Taraxacum spp.,1
73.044,Bog-myrtle Myrica gale,1
73.044,Honeysuckle Lonicera periclymenum,1
73.044,Heather Calluna vulgaris,1
73.044, Common Ragwort Jacobaea vulgaris,1
73.045, Broad-leaved Dock Rumex obtusifolius,1
73.045,plantains Plantago spp.,1
73.046,Lombardy-poplar Populus nigra,1
73.046, Hybrid Black-poplar Populus x canadensis,1
73.046, White Poplar Populus alba,1
73.046, Goat Willow Salix caprea,1
73.046,poplars Populus spp.,1
73.046,willows Salix spp.,1
73.046,Aspen Populus tremula,1
73.047, Wild Privet Ligustrum vulgare,1
73.047,Ash Fraxinus excelsior,1
73.047,Hazel Corylus avellana,1
73.047,Alder Alnus glutinosa,1
73.048, Sticky Mouse-ear Cerastium glomeratum,1
73.048, Field Mouse-ear Cerastium arvense,1
73.048, Greater Stitchwort Stellaria holostea,1
73.048, Common Mouse-ear Cerastium fontanum,1
73.05, Sea Wormwood Artemisia maritima,1
73.05,Mugwort Artemisia vulgaris,1
73.05,Wormwood Artemisia absinthium,1
73.052,sowthistles Sonchus spp.,1
73.052,hawk’s-beards Crepis spp.,1
73.052,hawkweeds Hieracium spp.,1
73.052, Marsh Sowthistle Sonchus palustris,1
73.053,mayweeds Tripleurospermum spp.,1
73.053,Chamomile Chamaemelum nobile,1
73.053, Corn Chamomile Anthemis arvensis,1
73.053, Stinking Chamomile Anthemis cotula,1
73.053,Feverfew Tanacetum parthenium,1
73.055, Sea Aster Tripolium pannonicum,1
73.055,Michaelmas-daisies Symphyotrichum spp.,1
73.055, Sea Wormwood Artemisia maritima,1
73.055,Goldenrod Solidago virgaurea,1
73.055, China Aster Callistephus chinensis,1
73.056, Common Figwort Scrophularia nodosa,1
73.057, White Mullein Verbascum lychnitis,1
73.057,mulleins Verbascum spp.,1
73.057, Dark Mullein Verbascum nigrum,1
73.057, Great x Dark hybrid Mullein Verbascum x semialbum,1
73.058, Water Figwort Scrophularia auriculata,1
73.058,Butterfly-bush Buddleja davidii,1
73.058, Great Mullein Verbascum thapsus,1
73.058, Common Figwort Scrophularia nodosa,1
73.058, White Mullein Verbascum lychnitis,1
73.058, Dark Mullein Verbascum nigrum,1
73.058, Hoary Mullein Verbascum pulverulentum,1
73.058, Moth Mullein Verbascum blattaria,1
73.058, Olympian Mullein Verbascum olympicum,1
73.058, Lizard Orchid Himantoglossum hircinum,1
73.059, Common Toadflax Linaria vulgaris,1
73.059, Pale Toadflax Linaria repens,1
73.059, Purple Toadflax Linaria purpurea,1
73.059, Small Toadflax Chaenorhinum minus,1
73.061, Wavy Hair-grass Avenella flexuosa,1
73.061, Tufted Hair-grass Deschampsia cespitosa,1
73.061, Purple Moor-grass Molinia caerulea,1
73.062, Wild Privet Ligustrum vulgare,1
73.062, Crab Apple Malus sylvestris,1
73.062,Hornbeam Carpinus betulus,1
73.062,Ash Fraxinus excelsior,1
73.062,limes Tilia spp.,1
73.062,hawthorns Crataegus spp.,1
73.062,Honeysuckle Lonicera periclymenum,1
73.062, Downy Birch Betula pubescens,1
73.062,Bramble Rubus fruticosus,1
73.062,willows Salix spp.,1
73.062,Blackthorn Prunus spinosa,1
73.062,oaks Quercus spp.,1
73.062,Hazel Corylus avellana,1
73.062,Grape-vine Vitis vinifera,1
73.062, Garden Privet Ligustrum ovalifolium,1
73.063,Lilac Syringa vulgaris,1
73.063, Field Maple Acer campestre,1
73.063,Hornbeam Carpinus betulus,1
73.063,limes Tilia spp.,1
73.063,elms Ulmus spp.,1
73.063, Pedunculate Oak Quercus robur,1
73.063,willows Salix spp.,1
73.063,birches Betula spp.,1
73.063,Blackthorn Prunus spinosa,1
73.063,Rhododendron Rhododendron ponticum,1
73.064,Saw-wort Serratula tinctoria,1
73.064,strawberries Fragaria spp.,1
73.064,teasels Dipsacus spp.,1
73.064,hawkweeds Hieracium spp.,1
73.064, Common Toadflax Linaria vulgaris,1
73.064, Rosebay Willowherb Chamaenerion angustifolium,1
73.064,Barberry Berberis vulgaris,1
73.064, White Willow Salix alba,1
73.064,Mugwort Artemisia vulgaris,1
73.064, Common Bird's-foot-trefoil Lotus corniculatus,1
73.064, Goat Willow Salix caprea,1
73.064,hawthorns Crataegus spp.,1
73.064,Fennel Foeniculum vulgare,1
73.064, Garden Parsley Petroselinum crispum,1
73.064, Salad Burnet Poterium sanguisorba,1
73.064, Greater Celandine Chelidonium majus,1
73.064,Monkeyflower Erythranthe guttata,1
73.064, Californian Poppy Eschscholzia californica,1
73.065,Ash Fraxinus excelsior,1
73.065,limes Tilia spp.,1
73.065,cherries Prunus spp.,1
73.065,hawthorns Crataegus spp.,1
73.065,elms Ulmus spp.,1
73.065,Apple Malus domestica,1
73.065,poplars Populus spp.,1
73.065,Beech Fagus sylvatica,1
73.065,willows Salix spp.,1
73.065,birches Betula spp.,1
73.065,Blackthorn Prunus spinosa,1
73.065,oaks Quercus spp.,1
73.065,Hazel Corylus avellana,1
73.065,Wayfaring-tree Viburnum lantana,1
73.066,birches Betula spp.,1
73.068,Plum Prunus domestica,1
73.068,Dog-rose Rosa canina,1
73.068,hawthorns Crataegus spp.,1
73.068,Rowan Sorbus aucuparia,1
73.068,willows Salix spp.,1
73.068,birches Betula spp.,1
73.068,Blackthorn Prunus spinosa,1
73.068, Wild Cherry Prunus avium,1
73.068,apples Malus spp.,1
73.068,cotoneasters Cotoneaster spp.,1
73.069,honeysuckles Lonicera spp.,1
73.07,Henbane Hyoscyamus niger,1
73.07, Sea Sandwort Honckenya peploides,1
73.07, Common Restharrow Ononis repens,1
73.07, Sweet Chestnut Castanea sativa,1
73.07,willows Salix spp.,1
73.07,oaks Quercus spp.,1
73.07,Hazel Corylus avellana,1
73.07, Spiny Restharrow Ononis spinosa,1
73.072,Chicory Cichorium intybus,1
73.072, Smooth Hawk's-beard Crepis capillaris,1
73.072, Sticky Groundsel Senecio viscosus,1
73.072, Bladder Campion Silene vulgaris,1
73.072,knapweeds Centaurea spp.,1
73.072, White Campion Silene latifolia,1
73.072,hawkweeds Hieracium spp.,1
73.072, Common Toadflax Linaria vulgaris,1
73.072, Common Restharrow Ononis repens,1
73.072, Wild Carrot Daucus carota,1
73.072,Flixweed Descurainia sophia,1
73.072,clovers Trifolium spp.,1
73.072, Spanish Catchfly Silene otites,1
73.072, Small Scabious Scabiosa columbaria,1
73.072, Field Scabious Knautia arvensis,1
73.073, Bog Asphodel Narthecium ossifragum,1
73.073, Bell Heath Erica cinerea,1
73.073, Cross-leaved Heath Erica tetralix,1
73.073,Heather Calluna vulgaris,1
73.074, Scentless Mayweed Tripleurospermum inodorum,1
73.074, Pot Marigold Calendula officinalis,1
73.074, Corn Spurrey Spergula arvensis,1
73.074, Sand Spurrey Spergularia rubra,1
73.074, Sea Bindweed Calystegia soldanella,1
73.074,Ploughman’s-spikenard Inula conyzae,1
73.074,thistles,1
73.074,hawk’s-beards Crepis spp.,1
73.074,knapweeds Centaurea spp.,1
73.074, Common Fleabane Pulicaria dysenterica,1
73.074, Common Restharrow Ononis repens,1
73.074,Henbane Hyoscyamus niger,1
73.074, Sticky Groundsel Senecio viscosus,1
73.074,Yellow-rattle Rhinanthus minor,1
73.074,Thorn-apple Datura stramonium,1
73.074,twinspurs Diascia spp.,1
73.076,pinks Dianthus spp.,2
73.076,Tomato Solanum lycopersicum,2
73.076, Devil's-bit Scabious Succisa pratensis,1
73.076,Tree-mallow Malva arborea,1
73.076,Snapdragon Antirrhinum majus,1
73.076, Scarlet Geranium Pelargonium x hybridum,1
73.078,Saw-wort Serratula tinctoria,1
73.082,lichens,1
73.084,Xanthoria parietina,1
73.084,lichens,1
73.084,Lecidea confluens,1
73.085,Xanthoria parietina,1
73.085,lichens,1
73.085,Diploicia canescens,1
73.085,Caloplaca spp.,1
73.091, Creeping Cinquefoil Potentilla reptans,1
73.091,Bramble Rubus fruticosus,1
73.091,Tormentil Potentilla erecta,1
73.092,knotgrasses Polygonum spp.,1
73.092,goosefoots,1
73.092,stitchworts Stellaria spp.,1
73.092,plantains Plantago spp.,1
73.092,Hop Humulus lupulus,1
73.092,dandelions Taraxacum spp.,1
73.092, Hedge Bedstraw Galium album,1
73.092,docks Rumex spp.,1
73.092, Common Nettle Urtica dioica,1
73.092, Goat Willow Salix caprea,1
73.092,Orpine Hylotelephium telephium,1
73.092,teasels Dipsacus spp.,1
73.095,Cereals ,1
73.095,grasses ,1
73.095,plantains Plantago spp.,1
73.095, Garden Pea Lathyrus oleraceus,1
73.096,dead-nettles Lamium spp.,1
73.096, Common Sorrel Rumex acetosa,1
73.096,Primrose Primula vulgaris,1
73.096,stitchworts Stellaria spp.,1
73.096,plantains Plantago spp.,1
73.096,dandelions Taraxacum spp.,1
73.096,docks Rumex spp.,1
